id	slots	status	width	height	fps	duration	codec	file_url	page
4707144	V01	ok	1920	1080	24000/1001	8.766667	h264	download/video/4707144	https://www.pexels.com/video/engine-push-start-button-4707144/
6636563	V01	ok	1920	1080	24000/1001	12.095417	h264	download/video/6636563	www.pexels.com/video/pressing-the-car-ignition-6636563/
6421467	V01	ok	3840	2160	30/1	10.046667	h264	download/video/6421467	/www.pexels.com/video/a-person-starting-the-engine-of-the-car-6421467/
6312479	V02	ok	3840	2160	25/1	10.000000	h264	download/video/6312479	exels.com/video/close-up-video-of-the-car-s-speedometer-6312479/
4118546	V04	ok	1920	1080	25/1	4.053333	h264	download/video/4118546	ps://www.pexels.com/video/a-man-shifting-gear-of-a-car-4118546/
8388280	V06	ok	4096	2160	25/1	33.600000	h264	download/video/8388280	s://www.pexels.com/video/a-person-s-hands-on-a-steering-wheel-8388280/
30169690	V08	ok	1080	1920	30/1	16.033333	h264	download/video/30169690	xels.com/video/rainy-city-street-at-night-with-reflections-30169690/
29900067	V09	ok	2160	3840	60/1	19.150000	h264	download/video/29900067	s.com/video/nighttime-rain-on-car-window-with-streetlights-29900067/
3752531	V02,V03	ok	1280	720	24000/1001	7.806667	h264	download/video/3752531	https://www.pexels.com/video/tachometer-rpm-gauge-3752531/
13850345	V02	ok	3840	2160	30000/1001	7.423333	h264	download/video/13850345	https://www.pexels.com/video/dashboard-in-car-after-launching-engine-13850345/
30752440	V02	ok	3840	2160	30/1	7.633333	h264	download/video/30752440	https://www.pexels.com/video/closeup-of-illuminated-car-dashboard-gauges-30752440/
3752534	V02	ok	1920	1080	24000/1001	9.343333	h264	download/video/3752534	https://www.pexels.com/video/close-up-video-of-a-car-speedometer-3752534/
9174928	V03	ok	3840	2160	24/1	9.386667	h264	download/video/9174928	https://www.pexels.com/video/video-of-a-tachometer-revving-9174928/
4707185	V04	ok	1920	1080	24000/1001	9.280000	h264	download/video/4707185	https://www.pexels.com/video/shifting-gears-of-a-car-4707185/
5520046	V06	ok	1080	1920	30000/1001	8.341667	h264	download/video/5520046	https://www.pexels.com/video/hands-of-a-man-on-the-steering-wheel-5520046/
6408465	V07	ok	3840	2160	25/1	25.000000	h264	download/video/6408465	https://www.pexels.com/video/close-up-view-of-the-wet-road-at-night-6408465/
31940805	V07	ok	1920	1080	30/1	20.000000	h264	download/video/31940805	https://www.pexels.com/video/nighttime-rain-drive-through-city-streets-31940805/
11785816	V08	ok	1920	1080	24/1	14.186667	h264	download/video/11785816	https://www.pexels.com/video/driving-on-road-in-rain-at-night-11785816/
12680281	V09	ok	1280	720	30000/1001	30.036667	h264	download/video/12680281	https://www.pexels.com/video/rain-over-car-window-12680281/
15283975	V09	ok	2160	3840	60000/1001	14.230000	h264	download/video/15283975	https://www.pexels.com/video/person-driving-a-car-on-a-rainy-night-15283975/
31196468	V10	ok	3840	2160	25/1	10.440000	h264	download/video/31196468	https://www.pexels.com/video/high-speed-night-drive-through-tunnel-31196468/
28267046	V10	ok	3840	2160	24/1	8.083333	h264	download/video/28267046	https://www.pexels.com/video/the-interior-of-a-car-driving-through-a-tunnel-28267046/
